,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
30871,2017-06-22,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30923,2017-06-21,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
30981,2017-06-24,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
31051,2017-06-23,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
31185,2017-07-03,3,651,8.0,3.5,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.4375,943
31251,2017-07-06,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
31311,2017-07-05,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
31374,2017-06-30,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
31414,2017-06-29,3,651,8.0,2.17,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.27125,943
31553,2017-07-01,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
31633,2017-07-12,3,651,8.0,1.56,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.195,943
31772,2017-07-14,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32129,2017-07-20,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
32191,2017-07-19,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32248,2017-07-22,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
32330,2017-07-16,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32382,2017-07-15,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32448,2017-07-18,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32511,2017-07-17,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32566,2017-07-28,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32607,2017-07-27,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32721,2017-07-29,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32853,2017-07-26,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
32893,2017-07-25,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
33103,2017-08-07,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
33170,2017-08-06,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
33338,2017-08-03,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
33444,2017-08-13,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
33507,2017-08-12,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
33632,2017-08-14,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
33687,2017-08-09,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
33737,2017-08-08,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
33806,2017-08-11,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
33873,2017-08-10,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
33970,2017-08-20,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34021,2017-08-23,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34077,2017-08-22,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34148,2017-08-17,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34216,2017-08-16,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34273,2017-08-19,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34377,2017-08-29,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
34424,2017-08-28,3,651,8.0,2.74,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.3425,943
